report_date,campaign,recommendation,recommended_budget,decision,manual_note,applied_by,applied_at
2026-06-16,Brand Protect,Increase up to 10%,1650.0,PENDING,,,
2026-06-16,Caut Instalare,Hold,1000.0,PENDING,,,
2026-06-16,PMax - New - Supraveghere Video,Hold,10000.0,PENDING,,,
2026-06-16,PMax - New - FotoVoltaice/Solare,Hold / Preventive cap,2000.0,PENDING,,,
2026-06-16,PMax - New - Automatizari Porti,Hold,4500.0,PENDING,,,
2026-06-16,PMax - New - Interfoane,Hold / Preventive cap,1800.0,PENDING,,,
2026-06-16,PMax - New - Sisteme Alarma,Hold / Preventive cap,1800.0,PENDING,,,
2026-06-16,PMax - New - SmartHome,Hold / Preventive cap,2000.0,PENDING,,,
2026-06-16,PMax - Purchase - Accesorii,Increase up to 10%,3630.0,PENDING,,,
2026-06-16,NEW - DSA - Supraveghere - No Accesories,Reduce 10%,900.0,PENDING,,,
2026-06-16,NEW - DSA - Automatizari Porti - No Accesories,Reduce 20%,1600.0,PENDING,,,
2026-06-16,DGen - Automatizari,Reduce 15%,637.5,PENDING,,,
2026-06-16,June 2024 - Search - Automatizari - tROAS,Hold / Preventive cap,3000.0,PENDING,,,
2026-06-16,PMax - Catch All - Shopping Only - No  Brand - Low tROAS,Hold / Preventive cap,3300.0,PENDING,,,
2026-06-16,June 2024 - Search - Accesorii Supraveghere - tROAS,Hold / Preventive cap,3000.0,PENDING,,,
2026-06-16,June 2024 - Search - Supraveghere + Brands - tROAS,Hold / Preventive cap,3000.0,PENDING,,,
2026-06-16,June 2024 - Search - Supraveghere - Generic - tROAS + AIMax - test 19.03.26,Reduce 15%,3400.0,PENDING,,,
2026-06-16,June 2024 - Search - Interfoane - tROAS,Hold,2000.0,PENDING,,,
2026-06-16,June 2024 - Search - Fotovoltaice - tROAS,Hold,2000.0,PENDING,,,
2026-06-16,June 2024 - Search - Alarme - tROAS,Hold,2000.0,PENDING,,,
2026-06-16,June 2024 - Search - Acces Pontaj - tROAS,Hold,2000.0,PENDING,,,
2026-06-16,June 2024 - Search - Sonorizari - tROAS,Hold,1000.0,PENDING,,,
2026-06-16,June 2024 - Search - Smart Home - tROAS,Hold,300.0,PENDING,,,
2026-06-16,PMax - New - Alarme antiincendiu,Reduce 15%,935.0,PENDING,,,
2026-06-16,PMax - New - Control Acces,Hold / Preventive cap,1000.0,PENDING,,,
2026-06-16,PMax - New - Accesorii Supraveghere,Hold,3300.0,PENDING,,,
2026-06-16,PMax - New - Kituri Supraveghere,Hold / Preventive cap,2500.0,PENDING,,,
2026-06-16,PMax - New - Sonorizari,Increase up to 10%,550.0,PENDING,,,
2026-06-16,DGen - All other categories,Reduce 15%,510.0,PENDING,,,
2026-06-16,DGen - Supraveghere,Reduce 15%,977.5,PENDING,,,
2026-06-16,PMax - Scule si Unelte,Hold / Preventive cap,4000.0,PENDING,,,
2026-06-16,PMax - Poor Products - Shopping - LOW ROAS,Increase up to 10%,682.0,PENDING,,,
2026-06-16,DGen - RMKT - BF Promo,Hold,600.0,PENDING,,,
2026-06-16,PMax - Promo BF 2025 - Shopping Only,Hold,1800.0,PENDING,,,
2026-06-16,PMax - Top Products last 14 days - Feed Only,Hold,1400.0,PENDING,,,
2026-06-16,DGen - Supraveghere - NO RMKT - tROAS - AC/BC,Hold,210.0,PENDING,,,
2026-06-16,Video Views - NO RMKT - NO Product Feed,Reduce 20% / Pause candidate,80.0,PENDING,,,
