report_date,month_day,month_days,monthly_budget,spend_mtd,spend_expected,pacing_ratio,forecast_month_end,remaining_budget,forecast_ratio_vs_budget
2026-05-08,8,31,575000.0,148121.98619148388,148387.09677419355,0.9982133852034784,573972.696492,426878.0138085161,0.9982133852034782
2026-05-14,14,31,575000.0,266384.45698109677,259677.4193548387,1.025828343653913,589851.2976009999,308615.54301890323,1.0258283436539128
2026-05-15,15,31,575000.0,284567.93236403225,278225.8064516129,1.0227948873373913,588107.060219,290432.06763596775,1.0227948873373913
2026-05-16,16,31,575000.0,300717.0702787097,296774.1935483871,1.0132857802869566,582639.323665,274282.9297212903,1.0132857802869566
2026-05-17,17,31,575000.0,317473.7118754516,315322.5806451613,1.0068220018556522,578922.651067,257526.2881245484,1.0068220018556522
2026-05-18,18,31,575000.0,339969.35151812906,333870.9677419355,1.0182656905373912,585502.772059,235030.64848187094,1.0182656905373912
2026-05-19,19,31,575000.0,359504.7594142258,352419.3548387097,1.0201050381547825,586560.396939,215495.24058577418,1.0201050381547827
2026-05-20,20,31,575000.0,373936.9323316129,370967.7419354839,1.008003904546087,579602.245114,201063.06766838708,1.0080039045460871
2026-05-21,21,31,575000.0,388342.2746097097,389516.12903225806,0.99698637788,573267.1672810001,186657.72539029032,0.9969863778800001
2026-05-22,22,31,575000.0,399012.71681025805,408064.5161290323,0.9778177249895651,562245.191869,175987.28318974195,0.9778177249895652
2026-05-23,23,31,575000.0,403442.47456425807,426612.9032258065,0.9456874640069565,543770.291804,171557.52543574193,0.9456874640069566
2026-05-24,24,31,575000.0,411577.5070916129,445161.2903225806,0.9245581681043479,531620.94666,163422.4929083871,0.9245581681043479
2026-05-25,25,31,575000.0,428170.05785322574,463709.6774193548,0.9233580378052173,530930.8717379998,146829.94214677426,0.9233580378052171
